,Industry
AXISCADES.NS,Computers
BAGFILMS.NS,Entertainment
BAJAJ-AUTO.NS,Auto
BAJAJCON.NS,Auto
BAJAJELEC.NS,Appliances
BAJAJFINSV.NS,Finance
BAJAJHIND.NS,Sugar
BAJAJHLDNG.NS,Finance
BAJFINANCE.NS,Finance
BALAJITELE.NS,Entertainment
BALAMINES.NS,Chemicals
BALKRISIND.NS,Auto Ancl
BALMLAWRIE.NS,Diversified
BALRAMCHIN.NS,Sugar
BANARBEADS.NS,Sugar
BANARISUG.NS,Sugar
BANCOINDIA.NS,Auto Ancl
BANG.NS,Auto Ancl
BANKBARODA.NS,Banks - PSU
BANKINDIA.NS,Banks - PSU
BANSWRAS.NS,Textiles
BASF.NS,Chemicals
BASML.NS,Textiles
BATAINDIA.NS,Leather
BAYERCROP.NS,Agro
BBL.NS,Electric
BBTC.NS,Tea-Coffee
BEL.NS,Electronics
BEML.NS,Engineering
BEPL.NS,Petrochem
BERGEPAINT.NS,Paints
BFINVEST.NS,Finance
BFUTILITIE.NS,Power
BGRENERGY.NS,Engineering
BHARATFORG.NS,Auto Ancl
BHARATGEAR.NS,Auto Ancl
BHARATRAS.NS,Agro
BHEL.NS,Engineering
BILENERGY.NS,Leather
BINDALAGRO.NS,Fertilisers
BIOCON.NS,Pharmaceuticals
BIRLACABLE.NS,
BIRLACORPN.NS,Cement
BIRLAMONEY.NS,Cement
BLISSGVS.NS,Pharmaceuticals
BLUEDART.NS,Couriers
BLUESTARCO.NS,Air Conditioners
BODALCHEM.NS,Dyes
BOMDYEING.NS,Petrochem
BOSCHLTD.NS,Auto Ancl
BPCL.NS,Refineries
BPL.NS,Consumer Goods
BRIGADE.NS,Construction
BRITANNIA.NS,Food Processing
BSELINFRA.NS,
BSL.NS,Textiles
BSOFT.NS,Transmisson Line Towers / Equipment
BURNPUR.NS,Cement
CADILAHC.NS,Pharmaceuticals
CANBK.NS,Banks - PSU
CANFINHOME.NS,Finance
CANTABIL.NS,Textiles
CAPLIPOINT.NS,Pharmaceuticals
CARBORUNIV.NS,Grinding Wheels
CAREERP.NS,Misc
CARERATING.NS,Misc
CASTROLIND.NS,Chemicals
CCL.NS,Tea-Coffee
CEATLTD.NS,Auto Ancl
CEBBCO.NS,Engineering
CELEBRITY.NS,Textiles
CENTENKA.NS,Textiles
CENTEXT.NS,Textiles
CENTRALBK.NS,Banks - PSU
CENTUM.NS,Electronics
CENTURYPLY.NS,Consumer Goods
CENTURYTEX.NS,Diversified
CERA.NS,Ceramics
CEREBRAINT.NS,Computers
CESC.NS,Power
CGCL.NS,Finance
CGPOWER.NS,
CHAMBLFERT.NS,Fertilisers
CHENNPETRO.NS,Refineries
CHOLAFIN.NS,Finance
CIGNITITEC.NS,Computers
CINELINE.NS,Entertainment
CIPLA.NS,Pharmaceuticals
CLNINDIA.NS,Dyes
CNOVAPETRO.NS,Textiles
COALINDIA.NS,Mining
COMPUSOFT.NS,Computers
CONCOR.NS,Transport
CONSOFINVT.NS,Finance
